iter	Passed	Remaining
552	15319	12382
553	15334	12345
554	15349	12307
555	15365	12270
556	15383	12234
557	15398	12197
558	15427	12171
559	15443	12134
560	15458	12096
561	15473	12059
562	15488	12022
563	15503	11985
564	15519	11948
565	15534	11911
566	15550	11875
567	15566	11838
568	15582	11803
569	15598	11767
570	15614	11731
571	15665	11721
572	15680	11684
573	15695	11648
574	15715	11615
575	15731	11579
576	15747	11544
577	15763	11508
578	15779	11473
579	15796	11438
580	15814	11405
581	15838	11375
582	15853	11339
583	15868	11303
584	15884	11268
585	15899	11232
586	15934	11211
587	15950	11176
588	15967	11141
589	15986	11109
590	16019	11085
591	16037	11052
592	16055	11019
593	16073	10986
594	16090	10952
595	16108	10919
596	16461	11112
597	16543	11120
598	16573	11095
599	16816	11210
600	16979	11272
601	17033	11261
602	17293	11385
603	17461	11448
604	17527	11443
605	17549	11410
606	17565	11372
607	17579	11334
608	17595	11296
609	17610	11259
610	17625	11221
611	17642	11185
612	17664	11152
613	17688	11120
614	17708	11085
615	17725	11049
616	17745	11015
617	17761	10978
618	17777	10942
619	17792	10905
620	17807	10868
621	17823	10831
622	17838	10794
623	17875	10771
624	17967	10780
625	17983	10744
626	17999	10707
627	18014	10670
628	18030	10634
629	18044	10597
630	18093	10580
631	18114	10547
632	18130	10511
633	18146	10475
634	18162	10439
635	18182	10406
636	18200	10371
637	18326	10398
638	18343	10362
639	18360	10327
640	18388	10298
641	18413	10267
642	18430	10232
643	18466	10208
644	18492	10178
645	18510	10143
646	18527	10108
647	18545	10074
648	18563	10039
649	18580	10004
650	18599	9971
651	18621	9939
652	18668	9920
653	18700	9893
654	18724	9862
655	18760	9837
656	18781	9805
657	18806	9774
658	18830	9743
659	18847	9709
660	18865	9675
661	18901	9650
662	18927	9620
663	18945	9586
664	18961	9552
665	18979	9518
666	19018	9495
667	19090	9488
668	19113	9456
669	19162	9438
670	19211	9419
671	19234	9388
672	19251	9353
673	19267	9319
674	19284	9285
675	19327	9263
676	19344	9229
677	19364	9196
678	19381	9162
679	19401	9129
680	19432	9102
681	19450	9069
682	19467	9035
683	19485	9002
684	19503	8968
685	19527	8938
686	19561	8912
687	19593	8885
688	19633	8862
689	19673	8838
690	19808	8857
691	19840	8830
692	19863	8799
693	19878	8764
694	19895	8730
695	19915	8698
696	19934	8665
697	19950	8631
698	19967	8598
699	19985	8565
700	20000	8530
701	20024	8500
702	20257	8558
703	20284	8528
704	20300	8494
705	20316	8460
706	20333	8426
707	20364	8399
708	20380	8364
709	20395	8330
710	20412	8297
711	20498	8291
712	20516	8258
713	20532	8224
714	20562	8196
715	20583	8164
716	20598	8130
717	20613	8096
718	20630	8062
719	20659	8034
720	20675	8000
721	20694	7968
722	20712	7935
723	20730	7902
724	20749	7870
725	20787	7845
726	20802	7811
727	20819	7778
728	20839	7747
729	20855	7713
730	20871	7680
731	20886	7647
732	20902	7613
733	20918	7580
734	21024	7580
735	21047	7549
736	21063	7516
737	21080	7483
738	21100	7452
739	21119	7420
740	21138	7388
741	21155	7355
742	21171	7323
743	21187	7290
744	21228	7266
745	21246	7234
746	21453	7266
747	21561	7264
748	21580	7231
749	21598	7199
750	21616	7166
751	21632	7134
752	21648	7101
753	21665	7068
754	21682	7035
755	21697	7003
756	21713	6969
757	21728	6937
758	21743	6904
759	21758	6871
760	21774	6838
761	21792	6806
762	21830	6780
763	21845	6748
764	21861	6715
765	21878	6683
766	21895	6651
767	21927	6624
768	21943	6591
769	22029	6580
770	22059	6552
771	22089	6523
772	22110	6492
773	22126	6460
774	22141	6428
775	22157	6396
776	22173	6363
777	22189	6331
778	22205	6299
779	22221	6267
780	22236	6235
781	22251	6203
782	22267	6171
783	22283	6139
784	22300	6107
785	22316	6076
786	22332	6044
787	22348	6012
788	22364	5980
789	22380	5949
790	22395	5917
791	22410	5885
792	22426	5854
793	22441	5822
794	22457	5790
795	22472	5759
796	22488	5727
797	22504	5696
798	22521	5665
799	22537	5634
800	22553	5603
